model,deadline_miss_rate,cost_per_episode,rank
model_150000.d3,0.9,314725.40625,1
model_145000.d3,0.9,316633.09375,2
model_190000.d3,0.9333333333333333,316171.8125,3
model_140000.d3,0.9333333333333333,316240.625,4
model_170000.d3,0.9333333333333333,316365.3125,5
model_130000.d3,0.9333333333333333,316571.84375,6
model_165000.d3,0.9333333333333333,316701.0625,7
model_125000.d3,0.9333333333333333,316731.8125,8
model_120000.d3,0.9333333333333333,316816.125,9
model_135000.d3,0.9666666666666667,316790.96875,10
model_95000.d3,1.0,7.920811653137207,11
model_90000.d3,1.0,8.0216703414917,12
model_85000.d3,1.0,9.385374069213867,13
model_75000.d3,1.0,11.206069946289062,14
model_80000.d3,1.0,11.644152641296387,15
model_100000.d3,1.0,273261.40625,16
model_70000.d3,1.0,273936.1875,17
model_65000.d3,1.0,284586.34375,18
model_105000.d3,1.0,311736.8125,19
model_110000.d3,1.0,312902.96875,20
model_195000.d3,1.0,313800.21875,21
model_155000.d3,1.0,313882.28125,22
model_185000.d3,1.0,313924.96875,23
model_160000.d3,1.0,314449.40625,24
model_115000.d3,1.0,314972.96875,25
model_180000.d3,1.0,316247.375,26
model_175000.d3,1.0,316299.84375,27
model_200000.d3,1.0,316314.3125,28
