model,deadline_miss_rate,cost_per_episode,rank
model_60000.d3,1.0,704021.9069852369,1
model_50000.d3,1.0,706616.9400062498,2
model_85000.d3,1.0,707711.2235658724,3
model_65000.d3,1.0,707884.4148717554,4
model_95000.d3,1.0,710458.2021747449,5
model_30000.d3,1.0,711167.869689047,6
model_70000.d3,1.0,711172.2322419065,7
model_80000.d3,1.0,711455.8930691633,8
model_75000.d3,1.0,711646.0510495256,9
model_55000.d3,1.0,712559.7254289029,10
model_5000.d3,1.0,714394.0878442733,11
model_40000.d3,1.0,714557.9025053484,12
model_10000.d3,1.0,715202.0030954716,13
model_90000.d3,1.0,715753.5830899004,14
model_35000.d3,1.0,715972.3959596043,15
model_20000.d3,1.0,716861.4268801449,16
model_25000.d3,1.0,717379.7216969663,17
model_100000.d3,1.0,717825.5614210652,18
model_15000.d3,1.0,718427.2008960517,19
model_45000.d3,1.0,718492.0326052217,20
