================ BẮT ĐẦU CHẠY THUẬT TOÁN ================
Đang thu thập tập mẫu (15000 episodes)...
-> Thời gian lấy mẫu, ước lượng Model P và R: 7.16s

Bắt đầu chạy Value Iteration...
[VI] Vòng lặp:  100 | Độ lệch Max Delta: 0.369730
[VI] Vòng lặp:  200 | Độ lệch Max Delta: 0.135333
[VI] Vòng lặp:  300 | Độ lệch Max Delta: 0.049536
[VI] Vòng lặp:  400 | Độ lệch Max Delta: 0.018132
[VI] Vòng lặp:  500 | Độ lệch Max Delta: 0.006637
[VI] Vòng lặp:  600 | Độ lệch Max Delta: 0.002429
[VI] Vòng lặp:  700 | Độ lệch Max Delta: 0.000889
[VI] Vòng lặp:  800 | Độ lệch Max Delta: 0.000325
[VI] Vòng lặp:  900 | Độ lệch Max Delta: 0.000119
[VI] Vòng lặp: 1000 | Độ lệch Max Delta: 0.000044
[VI] Vòng lặp: 1100 | Độ lệch Max Delta: 0.000016
[VI] Vòng lặp: 1200 | Độ lệch Max Delta: 0.000006
[VI] Vòng lặp: 1300 | Độ lệch Max Delta: 0.000002
Value Iteration hội tụ sau 1376 vòng lặp.

Bắt đầu chạy Policy Iteration...
[PI] Vòng lớn:  1 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 5015
[PI] Vòng lớn:  2 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 49
[PI] Vòng lớn:  3 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 42
[PI] Vòng lớn:  4 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 30
[PI] Vòng lớn:  5 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 34
[PI] Vòng lớn:  6 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 39
[PI] Vòng lớn:  7 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 25
[PI] Vòng lớn:  8 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 23
[PI] Vòng lớn:  9 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 35
[PI] Vòng lớn: 10 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 32
[PI] Vòng lớn: 11 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 36
[PI] Vòng lớn: 12 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 27
[PI] Vòng lớn: 13 | Vòng nhỏ Evaluation: 1376 | Điểm thay đổi Policy: 34
